Etime	Time	CO2 (µmol/mol)
0	2021-08-02 11:10:07	-0.63
1	2021-08-02 11:10:08	-0.64
2	2021-08-02 11:10:09	-0.67
3	2021-08-02 11:10:10	-0.59
4	2021-08-02 11:10:11	-0.61
5	2021-08-02 11:10:12	-0.64
6	2021-08-02 11:10:13	-0.63
7	2021-08-02 11:10:14	-0.61
8	2021-08-02 11:10:15	-0.69
9	2021-08-02 11:10:16	-0.54
10	2021-08-02 11:10:17	-0.47
11	2021-08-02 11:10:18	-0.55
12	2021-08-02 11:10:19	-0.39
13	2021-08-02 11:10:20	-0.42
14	2021-08-02 11:10:21	-0.6
15	2021-08-02 11:10:22	-0.57
16	2021-08-02 11:10:23	-0.61
17	2021-08-02 11:10:24	-0.62
18	2021-08-02 11:10:25	-0.5
19	2021-08-02 11:10:26	-0.54
20	2021-08-02 11:10:27	-0.54
21	2021-08-02 11:10:28	-0.65
22	2021-08-02 11:10:29	-0.62
23	2021-08-02 11:10:30	-0.64
24	2021-08-02 11:10:31	-0.75
25	2021-08-02 11:10:32	-0.68
26	2021-08-02 11:10:33	-0.68
27	2021-08-02 11:10:35	-0.72
28	2021-08-02 11:10:35	-0.72
29	2021-08-02 11:10:36	-0.63
30	2021-08-02 11:10:37	-0.68
31	2021-08-02 11:10:38	-0.65
32	2021-08-02 11:10:39	-0.63
33	2021-08-02 11:10:40	-0.65
34	2021-08-02 11:10:41	-0.59
35	2021-08-02 11:10:42	-0.57
36	2021-08-02 11:10:43	-0.54
37	2021-08-02 11:10:44	-0.6
38	2021-08-02 11:10:45	-0.63
39	2021-08-02 11:10:46	-0.63
40	2021-08-02 11:10:47	-0.59
41	2021-08-02 11:10:48	-0.55
42	2021-08-02 11:10:49	-0.57
43	2021-08-02 11:10:50	-0.58
44	2021-08-02 11:10:51	-0.7
45	2021-08-02 11:10:52	-0.68
46	2021-08-02 11:10:53	-0.65
47	2021-08-02 11:10:54	-0.62
48	2021-08-02 11:10:55	-0.7
49	2021-08-02 11:10:56	-0.61
50	2021-08-02 11:10:57	-0.55
51	2021-08-02 11:10:58	-0.56
52	2021-08-02 11:10:59	-0.47
53	2021-08-02 11:11:00	-0.44
54	2021-08-02 11:11:01	-0.51
55	2021-08-02 11:11:02	-0.55
56	2021-08-02 11:11:04	-0.65
57	2021-08-02 11:11:05	-0.66
58	2021-08-02 11:11:06	-0.64
59	2021-08-02 11:11:07	-0.62
60	2021-08-02 11:11:08	-0.6
61	2021-08-02 11:11:09	-0.61
62	2021-08-02 11:11:10	-0.67
63	2021-08-02 11:11:11	-0.72
64	2021-08-02 11:11:12	-0.66
65	2021-08-02 11:11:13	-0.57
66	2021-08-02 11:11:14	-0.54
67	2021-08-02 11:11:15	-0.48
68	2021-08-02 11:11:16	-0.47
69	2021-08-02 11:11:17	-0.52
70	2021-08-02 11:11:18	-0.47
71	2021-08-02 11:11:19	-0.49
72	2021-08-02 11:11:20	-0.61
73	2021-08-02 11:11:21	-0.56
74	2021-08-02 11:11:22	-0.62
75	2021-08-02 11:11:23	-0.65
76	2021-08-02 11:11:24	-0.55
77	2021-08-02 11:11:25	-0.66
78	2021-08-02 11:11:26	-0.58
79	2021-08-02 11:11:27	-0.55
80	2021-08-02 11:11:28	-0.65
81	2021-08-02 11:11:29	-0.63
82	2021-08-02 11:11:30	-0.64
83	2021-08-02 11:11:31	-0.68
84	2021-08-02 11:11:32	-0.65
85	2021-08-02 11:11:33	-0.63
86	2021-08-02 11:11:34	-0.59
87	2021-08-02 11:11:35	-0.57
88	2021-08-02 11:11:36	-0.54
89	2021-08-02 11:11:37	-0.56
90	2021-08-02 11:11:38	-0.54
91	2021-08-02 11:11:39	-0.67
92	2021-08-02 11:11:40	-0.65
