Etime	Time	CO2 (µmol/mol)
0	2021-07-16 12:33:45	-0.88
1	2021-07-16 12:33:46	-0.87
2	2021-07-16 12:33:47	-0.98
3	2021-07-16 12:33:48	-1.02
4	2021-07-16 12:33:49	-1.05
5	2021-07-16 12:33:50	-1.12
6	2021-07-16 12:33:51	-1.08
7	2021-07-16 12:33:52	-1.17
8	2021-07-16 12:33:54	-1.21
9	2021-07-16 12:33:55	-1.24
10	2021-07-16 12:33:56	-1.24
11	2021-07-16 12:33:57	-1.19
12	2021-07-16 12:33:58	-1.06
13	2021-07-16 12:33:59	-0.96
14	2021-07-16 12:34:00	-0.95
15	2021-07-16 12:34:01	-0.97
16	2021-07-16 12:34:02	-1.02
17	2021-07-16 12:34:03	-1.11
18	2021-07-16 12:34:04	-1.15
19	2021-07-16 12:34:05	-1.1
20	2021-07-16 12:34:06	-1.15
21	2021-07-16 12:34:07	-1.12
22	2021-07-16 12:34:08	-1.13
23	2021-07-16 12:34:09	-1.19
24	2021-07-16 12:34:10	-1.13
25	2021-07-16 12:34:11	-1.14
26	2021-07-16 12:34:12	-1.09
27	2021-07-16 12:34:13	-1.11
28	2021-07-16 12:34:14	-1.12
29	2021-07-16 12:34:15	-1.06
30	2021-07-16 12:34:16	-0.98
31	2021-07-16 12:34:17	-0.96
32	2021-07-16 12:34:18	-0.98
33	2021-07-16 12:34:19	-0.88
34	2021-07-16 12:34:20	-0.97
35	2021-07-16 12:34:21	-0.94
36	2021-07-16 12:34:22	-0.92
37	2021-07-16 12:34:23	-1.1
38	2021-07-16 12:34:24	-1.03
39	2021-07-16 12:34:25	-1.07
40	2021-07-16 12:34:26	-1.13
41	2021-07-16 12:34:27	-1.05
42	2021-07-16 12:34:28	-1.08
43	2021-07-16 12:34:29	-1.14
44	2021-07-16 12:34:30	-1.1
45	2021-07-16 12:34:31	-1.08
46	2021-07-16 12:34:32	-1.08
47	2021-07-16 12:34:33	-1.07
48	2021-07-16 12:34:34	-0.99
49	2021-07-16 12:34:35	-0.96
50	2021-07-16 12:34:36	-0.93
51	2021-07-16 12:34:37	-0.99
52	2021-07-16 12:34:38	-1.06
53	2021-07-16 12:34:39	-1.04
54	2021-07-16 12:34:40	-1.1
55	2021-07-16 12:34:41	-1.04
56	2021-07-16 12:34:42	-1.04
57	2021-07-16 12:34:43	-1.06
58	2021-07-16 12:34:44	-1.08
59	2021-07-16 12:34:45	-0.95
60	2021-07-16 12:34:46	-0.99
61	2021-07-16 12:34:47	-1.04
62	2021-07-16 12:34:48	-0.97
63	2021-07-16 12:34:49	-1.1
64	2021-07-16 12:34:50	-1.05
65	2021-07-16 12:34:51	-1.1
66	2021-07-16 12:34:52	-1.11
67	2021-07-16 12:34:53	-1.13
68	2021-07-16 12:34:54	-1.02
69	2021-07-16 12:34:55	-0.97
70	2021-07-16 12:34:56	-0.97
71	2021-07-16 12:34:57	-0.97
72	2021-07-16 12:34:58	-1.06
73	2021-07-16 12:34:59	-1.11
74	2021-07-16 12:35:00	-1.12
75	2021-07-16 12:35:01	-1.08
76	2021-07-16 12:35:02	-1.01
77	2021-07-16 12:35:03	-1.09
78	2021-07-16 12:35:04	-1.07
79	2021-07-16 12:35:05	-1.16
80	2021-07-16 12:35:06	-1.15
81	2021-07-16 12:35:07	-1.08
82	2021-07-16 12:35:08	-1.11
83	2021-07-16 12:35:09	-1.09
84	2021-07-16 12:35:10	-1.03
85	2021-07-16 12:35:11	-1.04
86	2021-07-16 12:35:12	-1
87	2021-07-16 12:35:13	-1.06
88	2021-07-16 12:35:14	-1.06
89	2021-07-16 12:35:15	-1
90	2021-07-16 12:35:16	-1.08
91	2021-07-16 12:35:17	-1.03
92	2021-07-16 12:35:18	-0.89
93	2021-07-16 12:35:19	-1.08
94	2021-07-16 12:35:20	-1.03
95	2021-07-16 12:35:21	-1.04
96	2021-07-16 12:35:22	-1.05
97	2021-07-16 12:35:23	-1.05
98	2021-07-16 12:35:24	-1.03
99	2021-07-16 12:35:25	-1.06
100	2021-07-16 12:35:26	-1.11
101	2021-07-16 12:35:27	-1.06
102	2021-07-16 12:35:28	-1.16
103	2021-07-16 12:35:29	-1.05
104	2021-07-16 12:35:30	-1.07
105	2021-07-16 12:35:31	-1.01
106	2021-07-16 12:35:32	-0.94
107	2021-07-16 12:35:33	-1.03
108	2021-07-16 12:35:34	-1.07
109	2021-07-16 12:35:35	-1.1
110	2021-07-16 12:35:36	-1.13
111	2021-07-16 12:35:37	-1.14
112	2021-07-16 12:35:38	-1.08
113	2021-07-16 12:35:39	-1.18
114	2021-07-16 12:35:40	-1.14
115	2021-07-16 12:35:41	-1.07
116	2021-07-16 12:35:42	-1.06
117	2021-07-16 12:35:43	-1.09
118	2021-07-16 12:35:44	-1.04
119	2021-07-16 12:35:45	-1.03
--------------------------------------------------------------
check_stand_1000ppm
--------------------------------------------------------------
120	2021-07-16 12:35:46	-0.98
121	2021-07-16 12:35:47	-0.98
122	2021-07-16 12:35:48	-1.01
123	2021-07-16 12:35:49	-1.05
124	2021-07-16 12:35:50	-1.04
125	2021-07-16 12:35:51	-0.98
126	2021-07-16 12:35:52	-0.86
127	2021-07-16 12:35:53	-0.92
128	2021-07-16 12:35:54	-1
129	2021-07-16 12:35:55	-0.95
130	2021-07-16 12:35:56	-1.1
131	2021-07-16 12:35:57	-1.11
132	2021-07-16 12:35:58	-1.12
133	2021-07-16 12:35:59	-1.18
134	2021-07-16 12:36:00	-1.16
135	2021-07-16 12:36:01	-1.15
136	2021-07-16 12:36:02	-0.96
137	2021-07-16 12:36:03	-0.96
138	2021-07-16 12:36:04	-1.02
139	2021-07-16 12:36:05	-0.98
140	2021-07-16 12:36:06	-1.11
141	2021-07-16 12:36:07	-1.08
--------------------------------------------------------------
check_stand_1000ppm
--------------------------------------------------------------
142	2021-07-16 12:36:08	-1.05
--------------------------------------------------------------
check_stand_1000ppm
--------------------------------------------------------------
143	2021-07-16 12:36:09	-1.06
144	2021-07-16 12:36:10	-1.03
145	2021-07-16 12:36:11	-1.01
146	2021-07-16 12:36:12	-0.97
147	2021-07-16 12:36:13	-0.99
148	2021-07-16 12:36:14	-0.98
149	2021-07-16 12:36:15	-1.13
150	2021-07-16 12:36:16	0.26
151	2021-07-16 12:36:17	20.48
152	2021-07-16 12:36:18	28.01
153	2021-07-16 12:36:19	27.46
154	2021-07-16 12:36:20	25.4
155	2021-07-16 12:36:21	4.95
156	2021-07-16 12:36:22	-2.67
157	2021-07-16 12:36:23	-2.54
158	2021-07-16 12:36:24	-1.6
159	2021-07-16 12:36:25	-1.07
160	2021-07-16 12:36:26	-0.96
161	2021-07-16 12:36:27	-0.96
162	2021-07-16 12:36:28	-0.91
163	2021-07-16 12:36:29	-1.02
164	2021-07-16 12:36:30	-1
165	2021-07-16 12:36:31	-1.07
166	2021-07-16 12:36:32	-1.15
167	2021-07-16 12:36:33	-1.11
168	2021-07-16 12:36:34	-1.05
169	2021-07-16 12:36:35	-0.96
170	2021-07-16 12:36:36	-0.99
171	2021-07-16 12:36:37	-0.94
172	2021-07-16 12:36:38	-1
173	2021-07-16 12:36:39	-0.97
174	2021-07-16 12:36:40	-0.96
175	2021-07-16 12:36:41	-1.05
176	2021-07-16 12:36:42	-1.01
177	2021-07-16 12:36:43	-1.04
178	2021-07-16 12:36:44	-1.82
179	2021-07-16 12:36:45	0.37
180	2021-07-16 12:36:46	20.49
181	2021-07-16 12:36:47	30.21
182	2021-07-16 12:36:48	29.82
183	2021-07-16 12:36:49	27.52
184	2021-07-16 12:36:50	7.12
185	2021-07-16 12:36:51	-2.66
186	2021-07-16 12:36:52	-2.25
187	2021-07-16 12:36:53	-1.32
188	2021-07-16 12:36:54	-1.03
189	2021-07-16 12:36:55	-0.97
190	2021-07-16 12:36:56	-0.91
191	2021-07-16 12:36:57	-0.98
192	2021-07-16 12:36:58	-1.01
193	2021-07-16 12:36:59	-1.01
194	2021-07-16 12:37:00	-0.97
195	2021-07-16 12:37:01	-0.97
196	2021-07-16 12:37:02	-1
197	2021-07-16 12:37:03	-1.07
198	2021-07-16 12:37:04	-1.16
199	2021-07-16 12:37:05	-1.21
200	2021-07-16 12:37:06	-1.12
201	2021-07-16 12:37:07	-1.13
202	2021-07-16 12:37:08	-1.08
203	2021-07-16 12:37:09	-1.07
204	2021-07-16 12:37:10	-1.07
205	2021-07-16 12:37:11	-1.02
206	2021-07-16 12:37:12	-1.08
207	2021-07-16 12:37:13	-1.01
208	2021-07-16 12:37:14	-1.04
209	2021-07-16 12:37:15	-1.65
210	2021-07-16 12:37:16	11.4
211	2021-07-16 12:37:17	26.88
212	2021-07-16 12:37:18	28.28
213	2021-07-16 12:37:19	28.03
214	2021-07-16 12:37:20	14.52
215	2021-07-16 12:37:21	-1.13
216	2021-07-16 12:37:22	-2.5
217	2021-07-16 12:37:23	-1.62
218	2021-07-16 12:37:24	-1.11
219	2021-07-16 12:37:25	-1.03
220	2021-07-16 12:37:26	-1.02
221	2021-07-16 12:37:27	-1.06
222	2021-07-16 12:37:28	-1.01
223	2021-07-16 12:37:29	-0.96
--------------------------------------------------------------
check_stand_5000ppm
--------------------------------------------------------------
224	2021-07-16 12:37:30	-1.01
225	2021-07-16 12:37:31	-1.03
226	2021-07-16 12:37:32	-1.02
227	2021-07-16 12:37:33	-1.12
228	2021-07-16 12:37:34	-1.1
229	2021-07-16 12:37:35	-1.13
230	2021-07-16 12:37:36	-1.19
231	2021-07-16 12:37:37	-1.06
232	2021-07-16 12:37:38	-1.05
233	2021-07-16 12:37:39	-1.04
234	2021-07-16 12:37:40	-0.97
235	2021-07-16 12:37:41	-1.01
236	2021-07-16 12:37:42	-1.12
237	2021-07-16 12:37:43	-1.18
238	2021-07-16 12:37:44	-1.11
239	2021-07-16 12:37:45	-1.13
240	2021-07-16 12:37:46	-1.07
241	2021-07-16 12:37:47	-1.02
242	2021-07-16 12:37:48	-1.06
243	2021-07-16 12:37:49	-1
244	2021-07-16 12:37:50	-1.08
245	2021-07-16 12:37:51	-1
246	2021-07-16 12:37:52	-1.02
247	2021-07-16 12:37:53	-1.06
248	2021-07-16 12:37:54	-1.03
249	2021-07-16 12:37:55	0.82
250	2021-07-16 12:37:56	75.84
251	2021-07-16 12:37:57	134.04
252	2021-07-16 12:37:58	137.16
253	2021-07-16 12:37:59	132.43
254	2021-07-16 12:38:00	55.99
255	2021-07-16 12:38:01	-2.6
256	2021-07-16 12:38:02	-5.82
257	2021-07-16 12:38:03	-2.95
258	2021-07-16 12:38:04	-1.43
259	2021-07-16 12:38:05	-0.95
260	2021-07-16 12:38:06	-0.76
261	2021-07-16 12:38:07	-0.66
262	2021-07-16 12:38:08	-0.69
263	2021-07-16 12:38:09	-0.68
264	2021-07-16 12:38:10	-0.75
265	2021-07-16 12:38:11	-0.91
266	2021-07-16 12:38:12	-0.95
267	2021-07-16 12:38:13	-0.99
268	2021-07-16 12:38:14	-1.02
269	2021-07-16 12:38:15	-0.93
270	2021-07-16 12:38:16	-0.96
271	2021-07-16 12:38:17	-0.93
272	2021-07-16 12:38:18	-1.06
273	2021-07-16 12:38:19	-1.1
274	2021-07-16 12:38:20	-5.33
275	2021-07-16 12:38:21	50.67
276	2021-07-16 12:38:22	153.05
277	2021-07-16 12:38:23	163.89
278	2021-07-16 12:38:24	164.77
279	2021-07-16 12:38:25	106.73
280	2021-07-16 12:38:26	3.8
281	2021-07-16 12:38:27	-7.08
282	2021-07-16 12:38:28	-3.55
283	2021-07-16 12:38:29	-1.42
284	2021-07-16 12:38:30	-0.74
285	2021-07-16 12:38:31	-0.61
286	2021-07-16 12:38:32	-0.72
287	2021-07-16 12:38:34	-0.86
288	2021-07-16 12:38:35	-0.88
289	2021-07-16 12:38:35	-0.88
290	2021-07-16 12:38:36	-0.8
291	2021-07-16 12:38:37	-0.83
292	2021-07-16 12:38:39	-0.82
293	2021-07-16 12:38:40	-0.95
294	2021-07-16 12:38:41	-0.91
295	2021-07-16 12:38:42	-0.94
296	2021-07-16 12:38:43	-0.93
297	2021-07-16 12:38:44	-0.95
298	2021-07-16 12:38:45	-0.98
299	2021-07-16 12:38:46	-1.04
300	2021-07-16 12:38:47	-1.11
301	2021-07-16 12:38:48	-1.14
302	2021-07-16 12:38:49	-1.5
303	2021-07-16 12:38:50	5.82
304	2021-07-16 12:38:51	118.93
305	2021-07-16 12:38:52	167.02
306	2021-07-16 12:38:53	166.87
307	2021-07-16 12:38:54	156.53
308	2021-07-16 12:38:55	42.24
309	2021-07-16 12:38:56	-6.15
310	2021-07-16 12:38:57	-5.56
311	2021-07-16 12:38:58	-3.73
312	2021-07-16 12:38:59	-1.5
313	2021-07-16 12:39:00	-0.73
314	2021-07-16 12:39:01	-0.6
315	2021-07-16 12:39:02	-0.69
316	2021-07-16 12:39:03	-0.75
317	2021-07-16 12:39:04	-0.77
318	2021-07-16 12:39:05	-0.79
