Etime	Time	CO2 (µmol/mol)
0	2021-08-02 12:19:47	-0.75
1	2021-08-02 12:19:48	-0.74
2	2021-08-02 12:19:49	-0.88
3	2021-08-02 12:19:50	-0.78
4	2021-08-02 12:19:51	-0.8
5	2021-08-02 12:19:52	-0.8
6	2021-08-02 12:19:53	-0.73
7	2021-08-02 12:19:54	-0.69
8	2021-08-02 12:19:55	-0.69
9	2021-08-02 12:19:56	-0.74
10	2021-08-02 12:19:57	-0.69
11	2021-08-02 12:19:58	-0.72
12	2021-08-02 12:19:59	-0.75
13	2021-08-02 12:20:00	-0.72
14	2021-08-02 12:20:01	-0.74
15	2021-08-02 12:20:02	-0.93
16	2021-08-02 12:20:03	-0.8
17	2021-08-02 12:20:05	-0.61
18	2021-08-02 12:20:06	-0.55
19	2021-08-02 12:20:07	-0.6
20	2021-08-02 12:20:08	-0.72
21	2021-08-02 12:20:09	-0.75
22	2021-08-02 12:20:10	-0.77
23	2021-08-02 12:20:11	-0.77
--------------------------------------------------------------
500curve
--------------------------------------------------------------
24	2021-08-02 12:20:12	-0.75
25	2021-08-02 12:20:13	-0.71
26	2021-08-02 12:20:14	-0.64
27	2021-08-02 12:20:15	-0.6
28	2021-08-02 12:20:16	-0.56
29	2021-08-02 12:20:17	-0.63
30	2021-08-02 12:20:18	-0.75
31	2021-08-02 12:20:19	-0.74
32	2021-08-02 12:20:20	-0.77
33	2021-08-02 12:20:21	-0.76
34	2021-08-02 12:20:22	-0.73
35	2021-08-02 12:20:23	-0.75
36	2021-08-02 12:20:24	-0.85
37	2021-08-02 12:20:25	-0.87
38	2021-08-02 12:20:26	-0.77
39	2021-08-02 12:20:27	-0.74
40	2021-08-02 12:20:28	-0.75
41	2021-08-02 12:20:29	-0.74
42	2021-08-02 12:20:30	-0.8
43	2021-08-02 12:20:31	-0.8
44	2021-08-02 12:20:32	-0.79
45	2021-08-02 12:20:33	-0.87
46	2021-08-02 12:20:34	-0.8
47	2021-08-02 12:20:35	0.76
48	2021-08-02 12:20:36	10.52
49	2021-08-02 12:20:37	15.51
50	2021-08-02 12:20:38	15.34
51	2021-08-02 12:20:39	13.44
52	2021-08-02 12:20:40	3.7
53	2021-08-02 12:20:41	-1.19
54	2021-08-02 12:20:42	-1.03
55	2021-08-02 12:20:43	-0.68
56	2021-08-02 12:20:44	-0.57
57	2021-08-02 12:20:45	-0.58
58	2021-08-02 12:20:46	-0.53
59	2021-08-02 12:20:47	-0.6
60	2021-08-02 12:20:48	-0.59
61	2021-08-02 12:20:49	-0.59
62	2021-08-02 12:20:50	-0.68
63	2021-08-02 12:20:51	-0.71
64	2021-08-02 12:20:52	-0.66
65	2021-08-02 12:20:53	-0.7
66	2021-08-02 12:20:54	-0.72
67	2021-08-02 12:20:55	-0.6
68	2021-08-02 12:20:56	-0.68
69	2021-08-02 12:20:57	-0.65
70	2021-08-02 12:20:58	-0.66
71	2021-08-02 12:20:59	-0.67
72	2021-08-02 12:21:00	-0.08
73	2021-08-02 12:21:01	9.26
74	2021-08-02 12:21:02	15.46
75	2021-08-02 12:21:03	15.37
76	2021-08-02 12:21:04	14.28
77	2021-08-02 12:21:05	4.68
78	2021-08-02 12:21:06	-1.52
79	2021-08-02 12:21:07	-1.48
80	2021-08-02 12:21:08	-1.11
81	2021-08-02 12:21:09	-0.82
82	2021-08-02 12:21:10	-0.75
83	2021-08-02 12:21:11	-0.68
84	2021-08-02 12:21:12	-0.71
85	2021-08-02 12:21:13	-0.74
86	2021-08-02 12:21:14	-0.73
87	2021-08-02 12:21:15	-0.68
88	2021-08-02 12:21:16	-0.82
89	2021-08-02 12:21:17	-0.78
90	2021-08-02 12:21:18	-0.67
91	2021-08-02 12:21:19	-0.71
92	2021-08-02 12:21:20	-0.72
93	2021-08-02 12:21:21	-0.73
94	2021-08-02 12:21:22	-0.8
95	2021-08-02 12:21:23	-0.86
96	2021-08-02 12:21:24	-0.84
97	2021-08-02 12:21:25	-0.79
98	2021-08-02 12:21:26	-0.86
99	2021-08-02 12:21:27	-0.79
100	2021-08-02 12:21:28	-0.72
101	2021-08-02 12:21:29	-0.84
102	2021-08-02 12:21:30	-0.77
103	2021-08-02 12:21:31	-0.7
104	2021-08-02 12:21:32	-0.73
105	2021-08-02 12:21:33	-0.71
106	2021-08-02 12:21:34	-0.64
107	2021-08-02 12:21:35	-0.69
108	2021-08-02 12:21:36	-0.73
109	2021-08-02 12:21:37	0.92
110	2021-08-02 12:21:38	10.54
